strategy,country,index,track,CAGR,MaxDD,Calmar,Sharpe,n_trades,qualified
14-Day RSI Oscillator,China,Shanghai Composite,Net-Tax,0.010913,-0.387113,0.02819,0.150973,45,True
14-Day RSI Oscillator,China,Shenzhen Component,Buy-and-Hold,0.004478,-0.60881,0.007355,0.142408,1,True
14-Day RSI Oscillator,China,Shenzhen Component,Gross,-0.013678,-0.488924,-0.027975,-5.9e-05,40,True
14-Day RSI Oscillator,China,Shenzhen Component,Net-Discount,-0.020564,-0.512688,-0.040109,-0.032086,40,True
14-Day RSI Oscillator,China,Shenzhen Component,Net-Full-Service,-0.021244,-0.513644,-0.04136,-0.035607,40,True
14-Day RSI Oscillator,China,Shenzhen Component,Net-Tax,-0.013678,-0.488924,-0.027975,-5.9e-05,40,True
14-Day RSI Oscillator,France,CAC 40,Buy-and-Hold,0.038251,-0.385589,0.099202,0.287655,1,True
14-Day RSI Oscillator,France,CAC 40,Gross,0.048622,-0.339466,0.143232,0.4018,42,True
14-Day RSI Oscillator,France,CAC 40,Net-Discount,7.3e-05,-0.523128,0.000139,0.110249,42,True
14-Day RSI Oscillator,France,CAC 40,Net-Full-Service,-0.062889,-0.799991,-0.078612,0.030816,42,True
14-Day RSI Oscillator,France,CAC 40,Net-Tax,0.018923,-0.458798,0.041245,0.193081,42,True
14-Day RSI Oscillator,Germany,DAX 40,Buy-and-Hold,0.072255,-0.387805,0.186318,0.447245,1,True
14-Day RSI Oscillator,Germany,DAX 40,Gross,0.052342,-0.344252,0.152045,0.434669,41,True
14-Day RSI Oscillator,Germany,DAX 40,Net-Discount,0.036089,-0.399588,0.090316,0.301276,41,True
14-Day RSI Oscillator,Germany,DAX 40,Net-Full-Service,0.034187,-0.40824,0.083741,0.287279,41,True
14-Day RSI Oscillator,Germany,DAX 40,Net-Tax,0.036206,-0.398823,0.090782,0.302229,41,True
14-Day RSI Oscillator,Germany,MDAX,Buy-and-Hold,0.062381,-0.399299,0.156225,0.409792,1,True
14-Day RSI Oscillator,Germany,MDAX,Gross,0.060641,-0.389654,0.155628,0.498646,44,True
14-Day RSI Oscillator,Germany,MDAX,Net-Discount,0.03769,-0.478611,0.078748,0.304409,44,True
14-Day RSI Oscillator,Germany,MDAX,Net-Full-Service,0.035692,-0.485921,0.073452,0.290692,44,True
14-Day RSI Oscillator,Germany,MDAX,Net-Tax,0.037814,-0.477952,0.079117,0.305337,44,True
14-Day RSI Oscillator,Germany,TecDAX,Buy-and-Hold,0.084311,-0.346007,0.243668,0.497103,1,True
14-Day RSI Oscillator,Germany,TecDAX,Gross,0.07763,-0.314205,0.247068,0.612503,39,True
14-Day RSI Oscillator,Germany,TecDAX,Net-Discount,0.059036,-0.314223,0.187879,0.434432,39,True
14-Day RSI Oscillator,Germany,TecDAX,Net-Full-Service,0.0577,-0.31487,0.183251,0.423341,39,True
14-Day RSI Oscillator,Germany,TecDAX,Net-Tax,0.059109,-0.314205,0.188123,0.435146,39,True
14-Day RSI Oscillator,India,BSE Sensex,Buy-and-Hold,0.094757,-0.380932,0.248751,0.643743,1,True
14-Day RSI Oscillator,India,BSE Sensex,Gross,0.040062,-0.374939,0.106848,0.388612,36,True
14-Day RSI Oscillator,India,BSE Sensex,Net-Discount,0.031005,-0.421053,0.073637,0.297673,36,True
14-Day RSI Oscillator,India,BSE Sensex,Net-Full-Service,0.01047,-0.534389,0.019592,0.148513,36,True
14-Day RSI Oscillator,India,BSE Sensex,Net-Tax,0.036081,-0.399961,0.090211,0.343672,36,True
14-Day RSI Oscillator,India,Nifty 50,Buy-and-Hold,0.096294,-0.384636,0.250352,0.652216,1,True
14-Day RSI Oscillator,India,Nifty 50,Gross,0.028001,-0.379155,0.07385,0.29198,37,True
14-Day RSI Oscillator,India,Nifty 50,Net-Discount,0.016873,-0.450915,0.037419,0.193861,37,True
14-Day RSI Oscillator,India,Nifty 50,Net-Full-Service,-0.007912,-0.586949,-0.01348,0.041491,37,True
14-Day RSI Oscillator,India,Nifty 50,Net-Tax,0.022845,-0.416482,0.054851,0.242407,37,True
14-Day RSI Oscillator,India,Nifty Bank,Buy-and-Hold,0.10794,-0.478773,0.225452,0.572157,1,True
14-Day RSI Oscillator,India,Nifty Bank,Gross,0.01743,-0.462811,0.037661,0.190214,41,True
14-Day RSI Oscillator,India,Nifty Bank,Net-Discount,0.006569,-0.519687,0.012641,0.130796,41,True
14-Day RSI Oscillator,India,Nifty Bank,Net-Full-Service,-0.019027,-0.657197,-0.028952,0.042843,41,True
14-Day RSI Oscillator,India,Nifty Bank,Net-Tax,0.01295,-0.493477,0.026242,0.163803,41,True
14-Day RSI Oscillator,Indonesia,Jakarta Composite Index,Buy-and-Hold,0.057646,-0.412062,0.139896,0.436297,1,True
14-Day RSI Oscillator,Indonesia,Jakarta Composite Index,Gross,0.011,-0.376658,0.029205,0.154677,31,True
14-Day RSI Oscillator,Indonesia,Jakarta Composite Index,Net-Discount,-0.002129,-0.459226,-0.004636,0.050341,31,True
14-Day RSI Oscillator,Indonesia,Jakarta Composite Index,Net-Full-Service,-0.005284,-0.479355,-0.011024,0.02845,31,True
14-Day RSI Oscillator,Indonesia,Jakarta Composite Index,Net-Tax,0.011,-0.376658,0.029205,0.154677,31,True
14-Day RSI Oscillator,Italy,FTSE MIB,Buy-and-Hold,0.042996,-0.466626,0.092141,0.296917,1,True
14-Day RSI Oscillator,Italy,FTSE MIB,Gross,0.07412,-0.375046,0.197629,0.486103,47,True
14-Day RSI Oscillator,Italy,FTSE MIB,Net-Discount,0.046275,-0.471403,0.098165,0.313383,47,True
14-Day RSI Oscillator,Italy,FTSE MIB,Net-Full-Service,0.03292,-0.561541,0.058624,0.25719,47,True
14-Day RSI Oscillator,Italy,FTSE MIB,Net-Tax,0.051052,-0.440687,0.115846,0.337729,47,True
14-Day RSI Oscillator,Japan,Nikkei 225,Buy-and-Hold,0.098063,-0.318137,0.308241,0.553056,1,True
14-Day RSI Oscillator,Japan,Nikkei 225,Gross,0.056887,-0.310103,0.183446,0.445186,38,True
14-Day RSI Oscillator,Japan,Nikkei 225,Net-Discount,0.041768,-0.402467,0.103781,0.324844,38,True
14-Day RSI Oscillator,Japan,Nikkei 225,Net-Full-Service,0.0,-1.0,0.0,0.0,38,True
14-Day RSI Oscillator,Japan,Nikkei 225,Net-Tax,0.044426,-0.378261,0.117449,0.345004,38,True
14-Day RSI Oscillator,Mexico,IPC Mexico,Buy-and-Hold,0.031736,-0.363345,0.087344,0.278882,1,True
14-Day RSI Oscillator,Mexico,IPC Mexico,Gross,0.048909,-0.272046,0.179782,0.475931,47,True
14-Day RSI Oscillator,Mexico,IPC Mexico,Net-Discount,0.029178,-0.366389,0.079636,0.279397,47,True
14-Day RSI Oscillator,Mexico,IPC Mexico,Net-Full-Service,0.011472,-0.464178,0.024715,0.152448,47,True
14-Day RSI Oscillator,Mexico,IPC Mexico,Net-Tax,0.043435,-0.287686,0.150982,0.419851,47,True
14-Day RSI Oscillator,South Korea,KOSDAQ,Buy-and-Hold,0.039449,-0.538887,0.073204,0.290485,1,True
14-Day RSI Oscillator,South Korea,KOSDAQ,Gross,0.034323,-0.427335,0.080319,0.295001,45,True
14-Day RSI Oscillator,South Korea,KOSDAQ,Net-Discount,0.018938,-0.498697,0.037975,0.197132,45,True
14-Day RSI Oscillator,South Korea,KOSDAQ,Net-Full-Service,-0.021821,-0.661557,-0.032984,0.057878,45,True
14-Day RSI Oscillator,South Korea,KOSDAQ,Net-Tax,0.034323,-0.427335,0.080319,0.295001,45,True
